freq,PowerSpec,sum
-3.8000000000000003,0.09290184077419092 + 0.03706215990248854im,2.2066266497122533 + 0.9277546219549196im
-3.7,0.09696386260578463 + 0.03562884811432995im,2.2162451838679553 + 0.8567384664887293im
-3.6,0.10342367091994495 + 0.04367104525244516im,2.2845188294461494 + 1.0720320276647208im
-3.5,0.07583429053092008 + 0.061841650179891905im,2.251375988307169 + 1.2568674655291505im
-3.4000000000000004,0.08692653333569597 + 0.04309517370707733im,2.2857203108069943 + 1.6640136306480837im
-3.3000000000000003,0.1017790921457623 + 0.06065888747975945im,2.0962806445859243 + 1.500505328441248im
-3.2,0.11365466786373996 - 0.011320654950511308im,2.3922087384369792 + 1.5210320149127676im
-3.1,0.07334337680464445 + 0.023047761322913585im,2.0764830170533273 + 2.068826283076297im
-3.0,0.11939664384863302 + 0.06981211969096723im,2.8434809993337398 + 1.3561739211974446im
-2.9000000000000004,0.0890429980418806 - 0.0102475266348961im,1.9121176520413024 + 2.1343652879549855im
-2.8000000000000003,0.19287099754327697 + 0.025921227976892516im,1.7418667761290094 + 0.7966454065509443im
-2.7,-0.013600527370234594 + 0.1931186999206241im,3.2961223629718814 + 1.5411698851813023im
-2.6,0.04063632718736533 + 0.051782356619966274im,2.732600252656418 + 2.838611214729062im
-2.5,0.11530324965993093 + 0.18329892760662803im,2.871643577370965 + 1.1146174833855524im
-2.4000000000000004,0.21076131688867794 + 0.3278266633636836im,1.3916220642873158 + 3.5411269309125237im
-2.3000000000000003,0.2548139396389221 + 0.162844572275819im,2.204578256109892 + 2.753320184765175im
-2.2,0.1420259643866293 + 0.015728333521261087im,-0.16302950353684664 + 4.587118500069932im
-2.1,0.2370174130976997 - 0.004096193934695118im,3.409546442788266 - 2.9362097789477932im
-2.0,0.34481727082546065 - 0.20090526729001904im,4.96368905837856 + 3.109405271565258im
-1.9000000000000001,-0.6807341652499074 + 0.2610145172325757im,8.515280483587079 + 6.196533138665597im
-1.8,-0.6627087437157001 + 0.6834800923336632im,7.515479401405371 + 12.040637754630927im
-1.7000000000000002,-0.38943172364864503 + 0.2191328962125704im,-4.16116604439675 + 5.855349051512404im
-1.6,-0.23574744136632134 + 0.010399596564055674im,-5.77984179929783 + 3.506718310182774im
-1.5,0.4887189119033138 + 0.28521774887933254im,9.034633126984822 + 2.9361388800951875im
-1.4000000000000001,-0.9467685485083648 - 1.2335441145050812im,9.053608265247808 + 5.672608028436508im
-1.3,1.7143245870124928 + 1.042352674395992im,8.164531139510709 + 7.634311058652498im
-1.2000000000000002,0.18181195425465024 + 0.44091032729542173im,-1.358639548561639 + 1.1336876262839728im
-1.1,0.9333618520505511 + 1.2688931883389793im,8.257052445359884 - 6.199685801979097im
-1.0,-1.689435182285564 - 1.75763074096795im,-0.0812582013713361 + 3.1150855732659357im
-0.9,-0.7115859196713965 - 1.4124668139361034im,5.378408491947432 + 6.231867276158347im
-0.8,0.5293776723431332 - 0.03790732917215189im,39.33252925909032 + 9.419029640320101im
-0.7000000000000001,-0.3923249421557903 + 0.46324926611082073im,4.378099661729397 + 21.03381771253779im
-0.6000000000000001,0.46734721586443084 + 0.4197996531742626im,-38.830064416285815 + 33.40352161297601im
-0.5,-0.44624567781732943 + 1.458875028578999im,-12.600768489355422 + 35.16585492442511im
-0.4,-1.7815632006853421 + 3.1786394397813162im,-7.350795267136649 + 17.81614341617162im
-0.30000000000000004,-0.9345502294165533 + 0.07526651346235647im,-28.144207309296423 - 5.8260426019168055im
-0.2,-0.3390163075168851 - 0.33831666658193793im,6.44440317528946 + 15.61930367341278im
-0.1,2.549945557914438 + 0.40688802844257665im,17.350556980424404 + 13.79474254222674im
